sample_name,species,split,T(degrees),t(day),delta_L(mm),delta_R(mm),delta_T(mm),volume(mm^3)_change_rate(%),weight(g)_change_rate(%),density(g/cm^3)_change_rate(%),EMC(%),delta_EMC(%),L*,a*,b*,delta_E*ab
B596,Castanea crenata,not assigned,140,4.0,0.0265270681423585,-0.2995453949637152,-0.4560194568301394,-0.727863525848497,-2.886263297977369,-2.174225164067943,8.940530649588299,-18.35519369628963,46.14,9.39,16.09,19.124293451001005
B597,Castanea crenata,test,140,4.0,0.0364632500416668,-0.2265895827752609,-0.567433377241878,-0.7565611379642375,-3.0707870454747708,-2.3318679139360383,9.116787938151536,-16.745614494743542,46.7,8.75,15.37,17.9385673898447
B598,Castanea crenata,val,140,4.0,0.044854431250246,-0.2573419593511237,-0.5693371289141663,-0.7807286939588893,-3.192948469585427,-2.431200858335323,9.129949291400354,-16.62542519292128,45.54,8.74,14.69,19.99657470668415
B599,Castanea crenata,not assigned,140,4.0,0.0431108246418131,-0.3045771522634893,-0.4868647935896139,-0.7471822800168471,-2.900471621401861,-2.169499456891974,8.6004036411446,-21.461228987866527,48.05,9.84,17.41,18.289201732169722
B600,Castanea crenata,train,140,8.0,0.0347191776711221,-0.3572884596497766,-0.9562154001006428,-1.2757667506275847,-4.062690839249828,-2.822938195511346,8.035549422248991,-26.619470159344345,44.29,9.23,16.43,20.465123991806156
B601,Castanea crenata,not assigned,140,8.0,0.0531903718249275,-0.3716439411655121,-0.9406291089309192,-1.2562284119779417,-4.054491490263839,-2.8338628688002707,8.047271483149917,-26.512424455991106,45.53,9.64,16.84,20.316311180920607
B602,Castanea crenata,val,140,8.0,0.0365084813493958,-0.3534931887684181,-0.6668055844967892,-0.9817851422834892,-4.263815099319812,-3.314571931792961,8.4342824825664,-22.978245185969897,45.11,9.01,16.31,19.251238921170756
B603,Castanea crenata,not assigned,140,8.0,0.0215601502257668,-0.3427168888419819,-0.816944024205744,-1.135569676100356,-4.150810739552675,-3.049874513587731,8.268232748344989,-24.49460913780245,44.28,9.13,16.44,19.23450025345083
B604,Castanea crenata,test,140,8.0,0.0249029815351987,-0.3498720271143616,-0.8956425480527542,-1.217810964095057,-4.066965692361866,-2.884279803954554,8.085589393097797,-26.162505814886533,44.92,9.62,17.34,22.108159127344816
B605,Castanea crenata,train,140,16.0,0.0482968216365873,-0.5446023436854783,-1.357193123554839,-1.8470358386602583,-6.378068656175858,-4.61629748651062,7.494036017001691,-31.564563332791973,41.71,9.57,15.77,25.022342016685805
B606,Castanea crenata,not assigned,140,16.0,0.051390168750812,-0.7036088769456019,-1.3635901088836733,-2.007247292851962,-6.472089942846145,-4.556298835014269,7.406082465133133,-32.36775399199098,40.62,9.02,14.32,25.6598558062979
B607,Castanea crenata,val,140,16.0,0.0464965961083652,-0.5311030424853203,-1.3172560543114704,-1.7957093827679829,-6.41416055048019,-4.702901613243573,7.484067678004667,-31.65559407117653,40.78,8.86,14.68,24.474268119802883
B608,Castanea crenata,test,140,16.0,0.0365051202598022,-0.5285078057983722,-1.52948279331855,-2.0141459269621085,-6.267242085711942,-4.340520577163732,7.526505713966558,-31.268050494422724,41.5,9.11,15.32,24.21849086958145
B609,Castanea crenata,not assigned,140,16.0,0.0398460407511785,-0.5288121267612382,-1.3031275060144247,-1.7859321811340232,-6.416907188815478,-4.715185014250959,7.501408883651837,-31.49723441316213,42.23,8.91,15.52,23.898207045717893
B610,Castanea crenata,train,140,32.0,0.0928003420849466,-1.2123093607117106,-2.7152518421318272,-3.8054425213340335,-11.19498947898495,-7.681876346579969,7.120543964194756,-34.9752877632039,38.11,8.02,11.55,29.589805676955702
B611,Castanea crenata,test,140,32.0,0.0547169644158073,-1.1410183251803216,-2.4095170884161785,-3.470193745840305,-10.439035465286782,-7.219367768228765,6.988191055622439,-36.18393275393687,38.7,8.32,12.68,27.981047156959644
B612,Castanea crenata,not assigned,140,32.0,0.0795322025569055,-1.4101201972364528,-2.481515243593649,-3.7801751987616616,-10.087046285188183,-6.554648274879574,6.968169006800602,-36.36677383596342,39.54,9.17,13.11,29.821446980319386
B613,Castanea crenata,val,140,32.0,-0.029804950690448,-0.8781741875776746,-2.364762001420892,-3.2510545596795573,-10.48490004253509,-7.476924373628173,7.595331432644349,-30.63953495206834,38.57,8.59,12.36,26.868375462614036
B614,Castanea crenata,not assigned,140,32.0,0.0895662435124427,-1.0459853776076211,-2.2398696803094977,-3.17578330940978,-9.821929298981432,-6.864136077454633,7.071555380739262,-35.42265085204932,40.38,8.84,13.77,28.203407595537108
B615,Castanea crenata,train,140,64.0,0.1014161190866702,-2.2751417742090663,-4.259676428425152,-6.343042044934648,-16.295847814833976,-10.626872778287847,6.874313258866198,-37.223863270688106,37.3,8.55,10.52,33.43857802000558
B616,Castanea crenata,not assigned,140,64.0,0.0909860361979569,-2.245318764234805,-4.1831256963435655,-6.249299004163055,-16.217586927289567,-10.632760947109238,6.89413881576756,-37.042816550251054,36.75,7.89,10.95,31.511959634399123
B617,Castanea crenata,test,140,64.0,0.0577709611987783,-2.2068237844999743,-4.941801102715966,-6.985791439528806,-15.796792033655285,-9.4727469388703,6.734965967300559,-38.49638087335939,36.51,7.86,10.78,32.28285922900883
B618,Castanea crenata,val,140,64.0,0.1012478917619392,-1.9841196466713136,-4.325468844525092,-6.128804122556087,-16.98051196593066,-11.560210501144912,6.982553374185249,-36.23541598541179,36.95,7.95,10.97,31.78273273335696
B619,Castanea crenata,not assigned,140,64.0,0.02151994397561,-2.267291740121056,-5.173815816222812,-7.303778438504552,-16.559276025356745,-9.984762518839045,6.7880174145371,-38.01191576681022,36.31,7.92,10.21,32.40894938130515
B625,Castanea crenata,train,180,0.03125,0.0348455209662732,-0.0384670826187378,-0.050838840874454,-0.0544771043513422,-1.0659188770409158,-1.0119930772142736,10.063814796175128,-8.09737789468133,52.9,8.16,15.55,19.642087465440124
B626,Castanea crenata,val,180,0.03125,0.0182753145393273,-0.0367590156927736,-0.1917255297679125,-0.2101933233074715,-1.216618009639085,-1.0085445797007335,9.81270929055369,-10.39047001323489,50.39,8.23,15.06,19.697586146530742
B627,Castanea crenata,not assigned,180,0.03125,0.018289339102177,-0.0682970208205981,-0.0708215297450571,-0.1208082683145386,-1.157030416165266,-1.037475504041327,9.756076575607668,-10.907639208604094,49.88,8.0,15.03,19.532764781259196
B628,Castanea crenata,test,180,0.03125,0.0265347758242353,-0.1172098525668655,-0.236528177704645,-0.3270095383551795,-1.052296710889303,-0.7276667120900967,9.183570947744933,-16.135752944424635,51.33,7.98,15.46,20.422578191795466
B629,Castanea crenata,not assigned,180,0.03125,0.0281423516174288,-0.0855269985625757,-0.1533428746677629,-0.210662464249215,-1.0632307365031437,-0.8543681051579944,9.1415393436541,-16.519584990768358,50.97,7.87,15.71,19.3292602031221
B630,Castanea crenata,train,180,0.0625,0.0448076783046556,-0.1023413370035462,-0.1211020284589633,-0.1786018183616629,-1.406361772139826,-1.2299566787715055,8.915986669310861,-18.57932899588348,46.79,7.72,13.95,25.82414761420016
B631,Castanea crenata,not assigned,180,0.0625,0.0298514274277802,-0.1254303756148574,-0.2633178043346141,-0.3586820084291843,-1.427307980134708,-1.0724727384637105,8.843828506749865,-19.238276371204588,47.17,7.2,13.88,25.94286414411485
B632,Castanea crenata,test,180,0.0625,0.03652970678534,-0.1252881071022371,-0.2827426032515446,-0.3713078431806867,-1.529408995692806,-1.1624172991142148,8.912164293977613,-18.6142348762987,45.37,7.22,13.59,26.568492618136993
B633,Castanea crenata,not assigned,180,0.0625,0.0314913647363012,-0.122441524527243,-0.252143217347439,-0.3429291269929218,-1.4808528005416968,-1.141839373343448,8.82377863350061,-19.42137154553016,46.9,7.39,14.57,24.871071549090928
B634,Castanea crenata,val,180,0.0625,0.0629597476665229,-0.0986886865293049,-0.240891297801876,-0.2765932887980934,-1.5230358593478008,-1.2498997092622457,8.85577720793422,-19.129160991814604,44.88,7.93,14.16,24.856685217462125
B635,Castanea crenata,train,180,0.125,0.0529967626874039,-0.1592673099908688,-0.6382332083881961,-0.7439247354653857,-2.083350955397844,-1.3494652255417754,8.389340013821705,-23.38865920939704,42.26,7.4,12.7,28.914911378041612
B636,Castanea crenata,not assigned,180,0.125,0.0680653375427177,-0.1153697030795823,-0.4712149149764328,-0.5184067802727813,-2.111175580941869,-1.6010688501450674,8.491276485135291,-22.45777671686124,39.59,6.89,12.25,29.31489211987654
B637,Castanea crenata,test,180,0.125,0.0764216810030751,-0.1861087754660911,-0.7354422728188458,-0.8444594892643462,-2.195348405366523,-1.3623937796556274,8.427432943644662,-23.040795083783934,42.37,7.42,13.52,27.88786115857579
B638,Castanea crenata,val,180,0.125,0.0563277781387787,-0.1322833106599342,-0.6842423022740778,-0.7597594148272417,-2.155529300127465,-1.4064555638620326,8.518740373096021,-22.206976859360186,43.76,7.37,13.5,28.369242147085995
B639,Castanea crenata,not assigned,180,0.125,0.0348165424024872,-0.1372564275510888,-0.4928090113647919,-0.594783370438034,-2.3472949389179694,-1.7629975849363668,8.50817621302833,-22.30344862779238,43.48,7.14,13.31,27.028196388216514
B640,Castanea crenata,train,180,0.25,0.0496989448320212,-0.3228726717357138,-0.919006261361352,-1.1898218212488865,-3.435432176540107,-2.2726508510376595,7.969123515462047,-27.226070651611334,39.72,7.07,11.77,31.205837594911625
B641,Castanea crenata,not assigned,180,0.25,0.026586851791225,-0.390501261629279,-0.8455808335011035,-1.2065289715611849,-3.4686157294974707,-2.2897128063099665,8.065101382243212,-26.34960205596345,39.0,6.79,11.05,34.31181283464924
B642,Castanea crenata,not assigned,180,0.25,0.0132498592202457,-0.3626846977787269,-0.5672609400324065,-0.9146978500115196,-3.5012055251357643,-2.610384808847801,8.146138255046099,-25.60957441747481,40.27,7.03,11.77,33.43000149566254
B643,Castanea crenata,test,180,0.25,0.0531086478090862,-0.3256440669065671,-1.105194413744594,-1.3748907373503312,-3.462056260185648,-2.116261810445206,7.94505935429573,-27.44582424950048,40.08,6.86,12.29,30.825612727081353
B644,Castanea crenata,val,180,0.25,0.082870759680557,-0.2965338665875984,-0.8769277290595681,-1.0889395866913325,-3.3366679850173298,-2.272474270252129,7.891924676524945,-27.931049416175075,39.83,6.94,11.74,31.29739605781925
B645,Castanea crenata,train,180,0.5,0.0746964007114008,-0.5092834954900982,-1.5574758842443666,-1.9856695372332631,-5.315411786937757,-3.397199403376409,7.437145298882865,-32.08408860968417,38.39,6.74,11.57,33.042372796153735
B646,Castanea crenata,val,180,0.5,0.0248730396251122,-0.5801670493712876,-1.570574526294451,-2.1172806435121987,-5.146415850875506,-3.0946577979012044,7.258173314745693,-33.71845837489973,37.63,6.6,10.77,33.08429536804434
B647,Castanea crenata,not assigned,180,0.5,0.0566387196914836,-0.587396504412935,-1.3560008095527254,-1.879906808011672,-4.896091977583248,-3.073972997222811,7.397465601442066,-32.44644307595884,34.93,5.67,8.67,33.07108253444389
B648,Castanea crenata,test,180,0.5,0.0464444180905979,-0.50800932129056,-1.5639280999289116,-2.0185063160901726,-5.119480318614194,-3.1648568376879704,7.463933490912066,-31.839459198391744,35.86,5.96,9.17,34.2617541874318
B649,Castanea crenata,not assigned,180,0.5,0.0896212672574443,-0.5110760129784564,-1.627486437613028,-2.0425249520302105,-4.961910833283648,-2.9802584027648846,7.542635434461585,-31.120754102612903,36.02,6.71,9.3,37.21438028504572
B650,Castanea crenata,train,180,1.0,0.1044159577957361,-0.7322077047063514,-2.050297949702044,-2.665958410251325,-7.6658642318229555,-5.136852163856128,7.08408754319565,-35.3082073121275,35.76,5.87,8.12,32.41312080007108
B651,Castanea crenata,not assigned,180,1.0,0.0995703539499699,-0.7645727690188394,-1.8854536239229416,-2.5386641062771407,-7.7941112238113535,-5.39234053108511,7.099735253404072,-35.165312631807595,37.97,6.97,10.58,34.1745724186858
B652,Castanea crenata,not assigned,180,1.0,0.0281720448996082,-0.8772428266458447,-2.45237130117549,-3.280862586139727,-8.469309074482258,-5.3644466101276445,7.860005616113145,-28.222533848907027,37.62,6.58,9.44,35.88458722069965
B653,Castanea crenata,test,180,1.0,0.0780185519794538,-0.8194707263795784,-2.583063209076165,-3.305980129206688,-8.420208156366108,-5.289084096403544,7.668164165889826,-29.97442740627959,36.94,6.5,8.66,37.08226799967877
B654,Castanea crenata,val,180,1.0,0.0464928727468075,-0.8733567276674016,-2.506341958396752,-3.3127873492256743,-7.843887659710173,-4.686349090288116,6.878517448273769,-37.185470669253306,35.19,5.19,6.34,33.72091487489627
B655,Castanea crenata,train,180,2.0,0.08943545288688,-1.3561188924773406,-3.725450496051836,-4.946111248841572,-12.507313398145406,-7.954647883053269,7.735502516820778,-29.359494486294352,35.17,6.26,7.89,36.39422069504992
B656,Castanea crenata,not assigned,180,2.0,-0.0015508526087623,-1.2914165037641925,-3.4098957806334087,-4.658842799632853,-11.847341648931604,-7.539764630915418,6.902207450551592,-36.96913388532914,35.12,6.42,9.12,36.48421302426572
B657,Castanea crenata,test,180,2.0,0.0480630213266256,-1.4498558507927284,-3.5786699107867146,-4.930966005497499,-11.959684123025768,-7.393278149786091,6.9289615141143495,-36.724816134735775,35.06,6.39,8.92,35.53559483109858
B658,Castanea crenata,not assigned,180,2.0,0.0314394353526124,-1.570535092776498,-3.686729809552891,-5.169537185413417,-12.230302276917982,-7.445671867393325,6.93091743422452,-36.70695469845205,34.24,5.51,6.04,38.722630334211544
B659,Castanea crenata,val,180,2.0,0.0298267277824468,-1.4151543796900643,-3.8430338673696975,-5.175519695871156,-13.250470155032644,-8.515681217827762,7.648130436762769,-30.157375152697185,34.38,5.94,6.33,37.901782279993114
B620,Castanea crenata,train,180,4.0,-0.038190644409813,-2.129835618221989,-5.249396621078022,-7.302837868671864,-18.19785689082029,-11.753346889641527,7.374909189974583,-32.652427923765856,54.11,7.93,15.83,15.46212792600036
B621,Castanea crenata,not assigned,180,4.0,-0.0629584649097386,-2.264289457274625,-4.821697639377184,-7.035394944164905,-18.48440570833702,-12.31545141002404,7.374997852442769,-32.651618259292334,50.91,7.73,14.44,17.83585153560099
B622,Castanea crenata,test,180,4.0,-0.0812704224223919,-2.273873533850724,-5.349919093851132,-7.577282144155579,-19.01169662700857,-12.37186564962061,7.438691791011133,-32.069966064254665,51.98,7.87,14.77,16.11018621866302
B623,Castanea crenata,not assigned,180,4.0,0.0713063221047614,-2.593288420573184,-5.802982651922484,-8.180341058500682,-19.01952823043468,-11.804865425213476,7.838495841870545,-28.418960819576206,56.17,8.21,16.05,15.444095959297847
B624,Castanea crenata,val,180,4.0,-0.2457884795657046,-2.312288050539609,-5.815487668730322,-8.219449372599195,-19.66633158891569,-12.47201301154436,7.935962363656855,-27.52889784633355,53.64,8.51,17.11,16.537871688944737
C500,Chamaecyparis obtusa,train,120,4.0,0.0234339326025496,-0.0438479284156921,-0.0710011157318153,-0.0914071221407554,-2.710427469269917,-2.6214165085189225,8.023343522966377,-12.25704203112634,68.36,9.71,24.53,6.853728912059485
C501,Chamaecyparis obtusa,not assigned,120,4.0,0.0384952989334042,-0.0589670886280168,-0.0810536980749837,-0.1016048161232641,-1.6457387396149483,-1.545704433639287,8.225338038284969,-10.048038239027766,72.11,9.24,24.72,4.379109498516799
C502,Chamaecyparis obtusa,test,120,4.0,0.0351399463150991,-0.0101394418283801,-0.0813917997761635,-0.0564354587684343,-1.544128648152257,-1.488533249952352,8.342154078328216,-8.770542783141396,72.15,9.29,25.55,4.449730328907583
C503,Chamaecyparis obtusa,val,120,4.0,0.0468561642748985,-0.0202387620940839,-0.1236093943139542,-0.0970985025470434,-2.170302071832816,-2.075218575447105,8.078733592931856,-11.651298482073214,67.84,10.4,23.67,6.387190305603862
C504,Chamaecyparis obtusa,not assigned,120,4.0,0.0518166026457425,-0.0050472747229591,0.04086219225661,0.0876410381630274,-2.256149445922764,-2.341738160450917,8.138423139630842,-10.99853603058418,73.15,8.38,24.49,4.869887062345485
C505,Chamaecyparis obtusa,not assigned,120,8.0,0.0902074773989474,-0.1685498568405532,-0.4584352078239421,-0.5365813835798598,-2.7813808877842967,-2.256909661291145,7.850057035769575,-14.15209599698984,69.27,9.72,26.28,8.563702470310378
C506,Chamaecyparis obtusa,val,120,8.0,0.0434616008138527,-0.1672483668774905,-0.4989816700610945,-0.6222235566221,-2.0583263114940875,-1.4450944730990658,7.880939111426147,-13.814370875465402,70.86,9.44,25.83,7.8202365693116995
C507,Chamaecyparis obtusa,test,120,8.0,0.0768809322452573,-0.1751771862884712,-0.3785553509310316,-0.4766229698959063,-2.798547856779604,-2.3330447138880297,7.860343443238634,-14.039604263883218,69.59,9.32,25.97,8.518620780384575
C508,Chamaecyparis obtusa,not assigned,120,8.0,0.070270059087682,-0.1527286164972088,-0.1043187982474234,-0.1868523832496023,-2.311338978980235,-2.1284636808449,7.818520953251349,-14.496973310915024,68.72,9.25,24.45,7.681145747868614
C509,Chamaecyparis obtusa,train,120,8.0,0.0217319742434403,-0.1464607725153396,-0.3555826475668002,-0.4798970433156762,-2.8090336365179387,-2.340367949796034,7.721466323558886,-15.558358788105952,66.79,10.36,26.51,9.417563379133687
C510,Chamaecyparis obtusa,train,120,16.0,0.0719255988224274,-0.1149661564912934,-0.4069589988808541,-0.4498928869738765,-3.023418297335479,-2.5851558426147223,7.432152260900208,-18.722285593308857,64.59,9.91,26.16,11.13083554815181
C511,Chamaecyparis obtusa,not assigned,120,16.0,0.0919913174132001,-0.1372313526271154,-0.50911312493635,-0.5542675319902203,-2.216354780825424,-1.6713510048004028,7.593051848977868,-16.9626942516823,67.06,9.81,27.14,11.489133996955555
C512,Chamaecyparis obtusa,test,120,16.0,0.0584399365152158,-0.138091025665535,-0.661981871881042,-0.7412026413306682,-3.21489667105806,-2.4921660301693658,7.412335947340617,-18.93899599125956,62.11,11.59,27.41,13.647933909570337
C513,Chamaecyparis obtusa,val,120,16.0,0.0484711240180855,-0.1621023785211932,-0.385747639833522,-0.4990317212958381,-2.287412500517754,-1.7973501264958704,7.577652257770517,-17.131103553886128,66.56,10.82,28.3,11.083370426003091
C514,Chamaecyparis obtusa,not assigned,120,16.0,0.0619179090939727,-0.2442844775348547,-0.3255340793489321,-0.5074039276792244,-2.425389813573146,-1.9277674536703504,7.650517669758495,-16.334250376262,66.24,10.81,27.91,11.881973741765306
C515,Chamaecyparis obtusa,train,120,32.0,0.1238643010088256,-0.3161737897568893,-0.7030056036678639,-0.8943986717959004,-3.8349555356727976,-2.9670945178353465,6.982661574285885,-23.637897433946986,59.5,11.27,26.47,16.2561526813696
C516,Chamaecyparis obtusa,not assigned,120,32.0,0.103740379772006,-0.6803595556488353,-0.6500761808024383,-1.2249476829480908,-3.1138932719418486,-1.9123711349000767,7.091138213118607,-22.4516013300273,62.36,11.45,27.73,16.004964854694304
C517,Chamaecyparis obtusa,test,120,32.0,0.0434564599699147,-0.2307348955000098,-0.7778118923344642,-0.9637351176565648,-3.773794216272093,-2.837404158924937,6.9213073347621705,-24.30886489836276,58.7,12.68,27.74,18.950720302933075
C518,Chamaecyparis obtusa,val,120,32.0,0.0785342956789976,-0.2460452636915495,-0.6728514629422034,-0.839443293449875,-3.901163306113995,-3.08763899110086,6.932108794030356,-24.190740579759424,59.09,11.92,26.44,17.275630234524005
C519,Chamaecyparis obtusa,not assigned,120,32.0,0.0659249460901187,-0.3246156548629619,-0.7929246721561392,-1.0498186111327472,-3.191383474165619,-2.164285939625185,7.086153996006436,-22.50610852535418,60.12,12.12,27.95,17.483600887689022
C520,Chamaecyparis obtusa,train,120,64.0,0.1189280859638362,-0.4782252302570887,-0.977397678680496,-1.3337385631487972,-4.630405610369313,-3.3412303245425643,6.500045824325699,-28.915763618120643,55.71,12.05,25.88,24.513659457535095
C521,Chamaecyparis obtusa,val,120,64.0,0.1643432067129051,-0.3417136666241843,-0.9658397722651548,-1.142049376449077,-5.527246359536718,-4.435856656371907,6.43731698726206,-29.6017636252444,50.56,13.16,24.07,24.510954693769065
C522,Chamaecyparis obtusa,test,120,64.0,0.1306609651500766,-0.418196362325079,-0.7849133537206747,-1.0707162350039363,-4.979107541182761,-3.9506920068916247,6.566961850233373,-28.18397268434666,53.72,12.43,24.69,23.270249246623898
C523,Chamaecyparis obtusa,not assigned,120,64.0,0.1423427677886651,-0.3569649611647613,-0.6924643584521346,-0.9060827805376854,-4.639652522941348,-3.767708298517409,6.470749710242182,-29.236144728479857,52.36,11.93,24.15,22.441394787312124
C524,Chamaecyparis obtusa,not assigned,120,64.0,0.2010961161521789,-0.4083341324203067,-0.814829904257487,-1.021232279870455,-4.541037563345692,-3.5561215446001224,6.550531420002412,-28.363655200125653,55.4,12.17,25.99,21.57158779506043
C525,Chamaecyparis obtusa,train,120,128.0,0.1724318725965696,-0.7404537550383996,-1.230425055928398,-1.792718649862162,-7.002013677054047,-5.304387776115317,6.011362418265626,-34.25998544226137,49.95,11.86,22.83,28.05551817379247
C526,Chamaecyparis obtusa,not assigned,120,128.0,0.1504980288733551,-0.7255567785350574,-1.6331530060222532,-2.1999034327022384,-7.449126851143379,-5.367298809187844,6.051948595587932,-33.81613666017759,47.92,11.07,19.85,26.122239567081536
C527,Chamaecyparis obtusa,test,120,128.0,0.1789910897931723,-0.7905978433105887,-1.3346917982679594,-1.9395463730035665,-7.082811569806825,-5.244994293384845,6.1115376330426185,-33.16447337369038,49.16,11.9,22.05,27.64920975362587
C528,Chamaecyparis obtusa,val,120,128.0,0.1488745808628213,-0.5484908381106971,-1.09050142682429,-1.4865637136456542,-6.420686071190929,-5.008578061578309,5.995007188195777,-34.43884557214141,48.74,11.75,21.85,25.509984319869737
C529,Chamaecyparis obtusa,not assigned,120,128.0,0.1701768974573392,-0.7322594882590574,-1.810967545019848,-2.3640863675825767,-7.736437060344317,-5.502432960260629,5.9257006630572375,-35.19677890813689,48.45,11.32,20.28,29.070220157405068
C530,Chamaecyparis obtusa,train,120,256.0,0.1748057571413193,-1.2214996363428845,-2.278738555442525,-3.303694137629134,-10.738569163793755,-7.688892517514353,5.699207253126448,-37.67370161385156,44.71,11.74,18.77,29.92285748387009
C531,Chamaecyparis obtusa,not assigned,120,256.0,0.1908941183225439,-1.3138600478366604,-2.466870540265027,-3.564576327898202,-11.060482517147111,-7.772979994090519,5.760125114598493,-37.00750636203475,46.05,11.3,18.78,28.528242147037382
C532,Chamaecyparis obtusa,val,120,256.0,0.2247706659141706,-1.2542424922671271,-2.329840268592949,-3.3380630560142768,-10.706492433137967,-7.622886122583701,5.762870655695141,-36.977481236430265,46.36,11.32,19.05,28.8878763497769
C533,Chamaecyparis obtusa,test,120,256.0,0.0751469545649771,-1.3888654470501125,-2.6894865525672307,-3.9688694650575305,-10.493250124030594,-6.794026710535353,5.87308625840179,-35.77216789441494,48.3,12.21,21.08,29.224819931010703
C534,Chamaecyparis obtusa,not assigned,120,256.0,0.2408844714350276,-1.2117215886153063,-2.761018509050001,-3.7078863737495102,-10.701760083133076,-7.263184331512025,5.829408876847824,-36.24982196006852,47.34,12.1,20.22,30.994465635012972
C535,Chamaecyparis obtusa,train,120,512.0,0.1929287259141877,-1.9031175392224584,-3.6059896098604383,-5.257954274114602,-16.27618167774765,-11.62971236182906,5.475561665641623,-40.11948064929163,40.72,10.53,16.07,35.303096181496606
C536,Chamaecyparis obtusa,not assigned,120,512.0,0.2278894806872434,-1.806752586052069,-4.173043566982968,-5.689971780396326,-16.583316465819824,-11.550568790052768,5.5081435538090044,-39.76316644738393,40.91,9.66,14.85,35.43728827097243
C537,Chamaecyparis obtusa,test,120,512.0,0.2598582963778017,-2.0402864342782614,-3.461616778660149,-5.18546910603524,-16.208119785919788,-11.62548670120158,5.640848927149541,-38.31190588974581,41.59,10.78,16.68,35.17396906804804
C538,Chamaecyparis obtusa,val,120,512.0,0.3318671752055532,-1.8323863221368768,-4.092852779474641,-5.537791590023332,-16.52272727272727,-11.628921097237177,5.57475822393731,-39.034671128138605,41.62,10.38,15.53,35.35167747080752
C539,Chamaecyparis obtusa,not assigned,120,512.0,0.2382467011582935,-2.2224267183716147,-3.819834541926264,-5.73329902943128,-16.144672633803918,-11.044593156626116,5.650677471354502,-38.20442133064616,42.48,11.1,17.43,35.84152619518316
C540,Chamaecyparis obtusa,train,160,0.125,0.053528154045794,-0.0994107329066462,-0.3964220369994051,-0.4421739410889629,-2.5210494680825084,-2.088108599080308,7.461474448310082,-18.401619346114597,70.72,9.29,24.77,5.113003031487462
C541,Chamaecyparis obtusa,val,160,0.125,-0.0050279572712232,-0.1252879281031915,-0.2339062341096457,-0.363898131082519,-1.9117295064053863,-1.5534844762987652,7.798077535170922,-14.720541698363036,74.03,9.17,24.51,2.5114139443747603
C542,Chamaecyparis obtusa,not assigned,160,0.125,0.0518108604699079,-0.0892859992922859,-0.4777879434787089,-0.5151274138453368,-2.61376207684933,-2.109501282405087,7.537272364681002,-17.57269642000225,71.56,8.75,23.86,5.6953138631685585
C543,Chamaecyparis obtusa,test,160,0.125,0.0451365803262379,-0.0997927338637295,-0.3355022366815725,-0.3900173008774336,-1.5885219162000173,-1.203197292928695,7.784721928972598,-14.866598063761575,75.19,9.02,24.66,2.333173804070334
C544,Chamaecyparis obtusa,not assigned,160,0.125,0.0737390672917808,-0.0810067848189974,-0.3461969249567325,-0.3534836211498308,-2.5833392313681043,-2.237765745608705,7.522211151243405,-17.737405236698503,66.9,10.49,26.22,10.231407527803782
C545,Chamaecyparis obtusa,train,160,0.25,0.0652023549559923,-0.1303287315752885,-0.4978662873399664,-0.562754193623558,-2.316081263449678,-1.7632498322009031,7.550380319404295,-17.42934836104758,72.0,8.69,23.99,5.516167147576298
C546,Chamaecyparis obtusa,not assigned,160,0.25,0.0735705504016403,-0.1380568228358081,-0.5684125050751211,-0.6326296032654773,-3.169165730239751,-2.552685169031736,7.355053755744946,-19.56543170539257,67.83,8.99,23.64,7.247164962935508
C547,Chamaecyparis obtusa,val,160,0.25,0.0601474758202836,-0.1456762363792131,-0.6192264744695964,-0.7043158588134142,-1.7516640032271498,-1.0547771068524354,7.504263786242173,-17.933676889339015,71.98,8.8,25.05,4.926235885541819
C548,Chamaecyparis obtusa,test,160,0.25,0.0837579358719529,-0.1064032312681462,-0.4764801297648073,-0.4990968037719365,-2.7936028208034287,-2.306015265516176,7.376968478435492,-19.32577319065592,63.63,10.35,25.14,10.56131147159291
C549,Chamaecyparis obtusa,not assigned,160,0.25,0.090491117109713,-0.0707511500564094,-0.3450025367833657,-0.3253930475717311,-3.109364364041084,-2.7930597386735263,7.283915797030831,-20.34339352437453,71.87,8.5,25.44,7.182443873780008
C550,Chamaecyparis obtusa,train,160,0.5,0.092020587759329,-0.0589795877222685,-0.3558718861209978,-0.32300275163201,-3.4202500912922136,-3.1072839523272435,7.046470633318867,-22.940084163364958,67.71,8.78,24.61,8.452153571723603
C551,Chamaecyparis obtusa,not assigned,160,0.5,0.083817593608144,-0.0321455254617121,-0.3868471953578362,-0.3353875290765307,-2.259837530714105,-1.9309260869288107,7.351034562722014,-19.609385436585868,70.2,9.22,25.53,8.134426839058795
C552,Chamaecyparis obtusa,val,160,0.5,0.0952492384543159,-0.0337241426515657,-0.5595116988809917,-0.4983764039210959,-3.4230181675233813,-2.939290493866422,7.141237814554525,-21.903714129327728,67.02,9.02,24.59,10.336629044325813
C553,Chamaecyparis obtusa,test,160,0.5,0.0785934259145222,-0.0727735581447278,-0.5385084332452477,-0.5327767038494811,-2.6331044207118004,-2.1115777109901472,7.182356001566161,-21.4540473109507,69.02,9.26,25.43,8.729054931663564
C554,Chamaecyparis obtusa,not assigned,160,0.5,0.0854672208070786,-0.0573734855245564,-0.6086427267194207,-0.5807685490149279,-2.614912363620079,-2.046026492980899,7.171064395003709,-21.577531860399976,66.35,9.35,24.76,9.532035459438875
